"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"707","Platr16",0.00233450519203677,-0.818554676727691,0.797,0.875,0.0238399320042857,"Platr16"
"708","Lrpap1",0.00583984080316181,-0.837518753219129,0.585,0.75,0.0481080698784652,"Lrpap1"
"709","Mtap",0.00491299719838652,-0.864325925832891,0.669,0.792,0.0429077538159164,"Mtap"
"710","Zfp992",0.00362592981370643,-0.875722427276245,0.703,0.792,0.0337628696639276,"Zfp992"
"711","Tubb3",0.0058687183654143,-0.886194900910895,0.63,0.833,0.0482916392686647,"Tubb3"
"712","Rbbp6",0.00507441840275301,-0.889662897358354,0.75,0.833,0.0440916203958445,"Rbbp6"
"713","Zmat5",0.00241864412453731,-0.906314865569755,0.656,0.833,0.0242145457909077,"Zmat5"
"714","Sall4",0.000530362229845077,-0.913440728356391,0.901,0.917,0.00723861786905823,"Sall4"
"715","Orc1",0.0018911766731346,-0.920519153236618,0.71,0.875,0.0206562749674888,"Orc1"
"716","Sin3b",0.000360112032300057,-0.971134191061736,0.766,0.833,0.00517413400768393,"Sin3b"
"717","Mtf2",9.7480276022691e-09,-0.973602339008288,0.991,0.958,3.52541630346754e-07,"Mtf2"
"718","Caap1",0.00503228094697078,-0.983651951722911,0.647,0.75,0.0437694887353213,"Caap1"
"719","Sephs2",5.72513409645342e-05,-0.988491627132356,0.825,0.958,0.00104689187404186,"Sephs2"
"720","P4hb",0.000398578789603144,-0.989721051775526,0.813,0.958,0.00567345338320432,"P4hb"
"721","Zcchc17",1.54908193927188e-05,-0.993924672593136,0.899,1,0.000319119594437626,"Zcchc17"
"722","Tacc3",6.64726954929508e-05,-1.0006933183166,0.744,0.958,0.00119757142790314,"Tacc3"
"723","Slc25a4",1.09480276177476e-06,-1.00892589209971,0.919,1,2.84318724321187e-05,"Slc25a4"
"724","Uchl1",0.00284184722154582,-1.01209238149107,0.786,0.875,0.0276207937982626,"Uchl1"
"725","Ep400",0.00113607621103426,-1.01362303364004,0.712,0.833,0.0133655488056376,"Ep400"
"726","Mcl1",0.000316628581133232,-1.01807176895492,0.991,0.958,0.00461458589836661,"Mcl1"
"727","Rpl10l",0.000686252915358198,-1.02285250814093,0.441,0.708,0.00876723464009502,"Rpl10l"
"728","Sap30bp",8.87748896755571e-06,-1.02793168663388,0.688,0.917,0.00018954603630873,"Sap30bp"
"729","Ppig",1.2970399208354e-06,-1.03440733574542,0.978,0.958,3.33879502996065e-05,"Ppig"
"730","Dpm1",2.2988866495529e-06,-1.03611588781953,0.774,0.958,5.69742686226757e-05,"Dpm1"
"731","Mpc2",0.000417665354125778,-1.03745070124517,0.77,0.875,0.00591067095833842,"Mpc2"
"732","Grb2",3.54230999183848e-05,-1.03894082861223,0.865,0.958,0.000679875719941753,"Grb2"
"733","Sap18",0.00409027565345934,-1.05076172321229,0.747,0.792,0.0371651783475304,"Sap18"
"734","Med10",0.00302158130467913,-1.07579167884175,0.763,0.833,0.0289797490378023,"Med10"
"735","Ccdc127",0.0050783480308452,-1.0955642097972,0.553,0.75,0.0440916203958445,"Ccdc127"
"736","Rbm25",7.01047929011782e-10,-1.10203313892108,0.995,1,2.82871873725498e-08,"Rbm25"
"737","Ube2t",0.000359504617562598,-1.10528572262442,0.75,0.833,0.00517255808785793,"Ube2t"
"738","Dbr1",0.00148468263737096,-1.10820153241373,0.576,0.75,0.0167923911888591,"Dbr1"
"739","Ccng1",0.00112004847875116,-1.1178288651608,0.831,0.875,0.0132317479442078,"Ccng1"
"740","Kif2c",0.00541107106352136,-1.12368944989036,0.652,0.792,0.046041546100755,"Kif2c"
"741","Gm26917",4.57849953417521e-05,-1.14221686410181,0.883,1,0.000851031506054115,"Gm26917"
"742","Kif20a",0.00312082534016992,-1.14525058789702,0.587,0.792,0.0297402269079172,"Kif20a"
"743","Rabac1",0.000493055805504512,-1.16944192288754,0.688,0.792,0.00682061523557986,"Rabac1"
"744","Mpzl1",0.00600387087950415,-1.19558555141666,0.479,0.625,0.0491277635598309,"Mpzl1"
"745","Atp6v1e1",0.000856611364681029,-1.23305754194397,0.895,0.958,0.0104906242963905,"Atp6v1e1"
"746","Trp53inp1",0.000944758401465311,-1.24045265111236,0.533,0.75,0.0114268177590937,"Trp53inp1"
"747","Mtor",0.00321031028062974,-1.24059139564959,0.488,0.667,0.0304740211797691,"Mtor"
"748","Mis18bp1",0.000158742520879318,-1.24163022735796,0.813,0.875,0.00248940225194794,"Mis18bp1"
"749","Atad2b",0.0028207418749714,-1.26009952330922,0.546,0.792,0.0274520971712333,"Atad2b"
"750","Dusp9",0.000406870562678575,-1.3088437390883,0.545,0.75,0.00576905433838634,"Dusp9"
"751","Cab39",0.00214127165429631,-1.32670673636995,0.742,0.917,0.0228428302406978,"Cab39"
"752","Ppif",0.000868565480787905,-1.34873269567322,0.449,0.667,0.0106111188964255,"Ppif"
"753","Isyna1",0.00444552293771387,-1.34894971992434,0.706,0.875,0.0394902756509777,"Isyna1"
"754","Igfbp2",7.69773780087966e-09,-1.35457349229232,0.935,1,2.81168991445098e-07,"Igfbp2"
"755","Znhit3",6.57207197714931e-09,-1.35737589329034,0.852,0.958,2.40652845623265e-07,"Znhit3"
"756","Zfp296",0.000258383964840283,-1.36345774429675,0.537,0.792,0.00388158967488781,"Zfp296"
"757","Gtf2b",1.11091518709181e-05,-1.36496057583113,0.617,0.875,0.000235138363371874,"Gtf2b"
"758","Commd3",0.000868623715219102,-1.36526931743281,0.318,0.583,0.0106111188964255,"Commd3"
"759","Yipf3",0.000625950213593931,-1.38591953512903,0.385,0.625,0.00830060881233118,"Yipf3"
