"logFC","isDE","Transcript_Name"
"6.6675372206318002","Up","Gm18805"
"6.6850726146587496","Up","Gm43263"
"5.97455770087819","Up","Ccdc60"
"5.1030799311513002","Up","Gm10722"
"4.7240025775062602","Up","Usp17la"
"6.7262273443699101","Up","Esp24"
"5.9270689567289496","Up","IAPEy-int"
"6.5526843873124596","Up","Sp140"
"5.4186346879413598","Up","Calhm3"
"5.8178633615979498","Up","Gm13964"
"4.7258917526970299","Up","C1d"
"5.0962051755487296","Up","Lx2A"
"5.7076717200764699","Up","Ankrd22"
"5.3431974604574197","Up","Pclo"
"6.2971715757998696","Up","Phf11a"
"5.1119713390056596","Up","Sdhaf3"
"5.73949210862349","Up","Gm13106"
"4.3033592051081504","Up","B2_Mm1t"
"4.69281953504328","Up","MT2C_Mm"
"5.1488566771092001","Up","ERVB7_2B-LTR_MM"
"5.4722191586001303","Up","Stox1"
"4.9171145360899597","Up","Gm8332"
"5.6754025675555297","Up","Gm26870"
"5.7794273970716397","Up","Apol7b"
"5.1000498233470104","Up","Pramef6"
"6.1661677874534","Up","Slfn2"
"5.9749423488370503","Up","RLTR30C_MM"
"5.7754893330987898","Up","Gm10461"
"6.2489062437853899","Up","1810062G17Rik"
"6.2955511794813503","Up","Gm44693"
"5.7531982776367103","Up","MMERVK10D3_LTR"
"5.1926975512742803","Up","Gm13083"
"4.6263589677126502","Up","Tmem92"
"5.8028005402106597","Up","Gm12724"
"4.6667249930703996","Up","Cep57l1"
"6.52997796626412","Up","Fcer1g"
"5.9232923241775799","Up","Klhl6"
"4.7937367996484301","Up","Gm4027"
"5.3893421974766902","Up","Gm10718"
"4.74891529277083","Up","Gm4340"
"5.3611841594136598","Up","Gm43225"
"5.0999433735422404","Up","MuRRS-int"
"5.03307777473887","Up","RP24-560O24.2"
"4.3746597288232199","Up","MT2B"
"6.1748678420821204","Up","Gm21731"
"6.46963050877799","Up","9530059O14Rik"
"5.4678239554865504","Up","AW822073"
"5.9570507148336498","Up","Gm44736"
"5.19670456762658","Up","Adcy2"
"4.8310478548918896","Up","Cacna1s"
"5.0039261952618297","Up","AA623943"
"4.5151626608918498","Up","Os9"
"4.72437082567461","Up","Ddit4l"
"4.9700557024294199","Up","ERVB4_1B-I_MM-int"
"7.0591710463740904","Up","Gm32754"
"6.2625730195719704","Up","RP24-370L8.5"
"6.6736449179827302","Up","Cd200r1"
"6.4126457324086399","Up","Gm12798"
"5.8486273853196096","Up","Gm11544"
"5.5992079206773404","Up","Kat2b-ps"
"5.6577323020555301","Up","F730035P03Rik"
"5.9358140988397903","Up","Cd163"
"4.3255508242718097","Up","Lx3C"
"6.19619806441702","Up","9130227L01Rik"
"4.9823172438073504","Up","Gm11546"
"4.7380986255281297","Up","Snora17"
"5.5347314393961398","Up","Gm11487"
"5.9847898251142704","Up","Gm16239"
"5.3334688647792197","Up","Gm2056"
"4.0318665556779898","Up","L1Md_F2"
"4.2159768885115101","Up","Lx2B"
"5.62879158277096","Up","Gm8953"
"4.2758802140284997","Up","L1Md_F"
"6.2062308595666904","Up","Gm13233"
"4.7693469279226903","Up","Limch1"
"6.3608685714548203","Up","Gm37980"
"5.8326661632995096","Up","Dcdc5"
"5.2508087869355098","Up","Chrm3"
"4.4066394917695701","Up","Uap1"
"5.7496330478659603","Up","Gm44550"
"4.72243007625225","Up","Dnajb14"
"5.2686628098000803","Up","5430402O13Rik"
"5.6003283248306204","Up","4930579F01Rik"
"5.5277221097242499","Up","Gm38342"
"4.9946328584139303","Up","Antxr1"
"4.8980574495895102","Up","Prkch"
"6.53478534950235","Up","Vmn1r227"
"4.2189447501552397","Up","Lx4A"
"4.4095221278397601","Up","L1M3"
"6.2229607617245604","Up","Gm9131"
"5.6948809599797503","Up","Cpb2"
"6.1174362130362097","Up","Gm4285"
"5.2000895348344196","Up","Trim75"
"4.0040021628935296","Up","L1MEg"
"7.0497440777247196","Up","Gm43678"
"6.0596406725599499","Up","Fam186b"
"5.7328483578290204","Up","Naalad2"
"4.6547021845724696","Up","RLTR10C"
"6.2001046928218999","Up","Gm12114"
"4.9806764956567804","Up","Gm5699"
"5.7273349264143301","Up","Gm11238"
"6.8145290903134699","Up","Gm29284"
"5.66143361023168","Up","Gm44739"
"5.6912912798550899","Up","Obox4-ps33"
"5.36921969957704","Up","Gm11784"
"4.3749427835492503","Up","Prex2"
"4.6450908829545901","Up","RLTR9A"
"5.9052065264400104","Up","C130026I21Rik"
"4.6181092916734601","Up","Comt"
"4.56625821114452","Up","Mcm9"
"4.4806507925012102","Up","MERV1_I-int"
"4.8669784186862302","Up","Abcb5"
"4.8746488489965998","Up","Fam124a"
"6.5178557276823703","Up","Gm12475"
"6.1802018856331804","Up","Gm13962"
"4.1208368812978096","Up","MMERVK10C-int"
"4.01044329946075","Up","Lx2"
"4.1328786380158","Up","RMER16-int"
"6.5467103944693603","Up","Gm14929"
"4.5514757952662199","Up","IAPEY3-int"
"4.6630909706408996","Up","Fam173b"
"6.1925656654137997","Up","Zswim2"
"4.8485770233044496","Up","Rdh1"
"3.8335947885260002","Up","L1_Mus3"
"5.7613558539591496","Up","Gm11232"
"4.0892609307754899","Up","Lx3B"
"5.3332620670732398","Up","Obox4-ps16"
"3.8761498924261999","Up","L1_Mus2"
"4.03823698303448","Up","ORR1B1-int"
"6.93257450856904","Up","Gm16004"
"4.2222664895625099","Up","RLTR6-int"
"5.3043703661740098","Up","Gm7029"
"4.9980812229807396","Up","RLTR41A2"
"8.3465794862031402","Up","Gm22723"
"4.1914243681730801","Up","IAPEz-int"
"4.4043962410386497","Up","RMER2"
"4.1536884058399597","Up","Zfp516"
"4.57930832364538","Up","RMER6D"
"6.6516554804719696","Up","Gm11984"
"6.5158879530532996","Up","Gm9124"
"5.9784710040903999","Up","Ighv3-3"
"5.5924894673922001","Up","Gm7942"
"4.7552515471646304","Up","Tbc1d12"
"3.9865598293956901","Up","ORR1A0"
"5.2430805480842002","Up","Ctf2"
"5.6411173005945203","Up","Gm44996"
"4.43849817760118","Up","Gm5698"
"5.33807802228388","Up","Gm9043"
"8.2127458041826404","Up","Gm4847"
"4.24537760423327","Up","Lgals4"
"3.8985632314980099","Up","Atf2"
"4.08929321533408","Up","L1_Mm"
"5.52892862515123","Up","Gm33248"
"5.8320526962234602","Up","Popdc3"
"3.9149934420736701","Up","L1_Mus4"
"4.4133054784000398","Up","IAPEY4_I-int"
"6.4270700202519402","Up","1700030C14Rik"
"4.5793212688351597","Up","MLT1L"
"4.1561498526413096","Up","Myo1e"
"4.5852457907781501","Up","Kdm4dl"
"5.16009340299615","Up","Gm14742"
"4.7454804653071703","Up","Sh3kbp1"
"8.6567728973119902","Up","Gm5890"
"5.1965564474735997","Up","Itga2b"
"8.0766599056286097","Up","RP24-121L4.5"
"5.1718287781076704","Up","ERVL-int"
"4.1179741354331503","Up","Lx10"
"7.0917024484093201","Up","Slc19a3"
"4.32171154200259","Up","IAPLTR2_Mm"
"6.5527609707171202","Up","Gm5834"
"3.7910634829154","Up","MTA_Mm-int"
"3.988900904771","Up","Ercc4"
"5.2520841732781802","Up","Gm14385"
"4.9189333586959698","Up","Duxf3"
"3.8113457851015098","Up","L1_Mur2"
"6.1960083668488304","Up","Tdpoz1"
"4.7937299947432104","Up","SRV_MM-int"
"4.3891074330472","Up","Fbxo34"
"5.3786842011239298","Up","MER81"
"3.70557276429316","Up","Aqr"
"3.9835688535160099","Up","MT2B2"
"5.8788873614848098","Up","Olfr881"
"3.9496229458051002","Up","ORR1A1-int"
"6.2050569222928198","Up","Olfr815"
"4.3257087012956301","Up","RLTR19"
"4.0164127212503402","Up","Rxra"
"4.9238945480285903","Up","Hdc"
"4.3279496001427002","Up","MMVL30-int"
"5.4292940881392697","Up","Slc34a2"
"4.7567338596571398","Up","Gm21936"
"5.5482250899859498","Up","Me3"
"4.8359825295636298","Up","ERVB7_4-LTR_MM"
"3.7064072455928199","Up","ORR1A2"
"4.2658033665919097","Up","Ric3"
"4.1348357542728396","Up","RLTR10-int"
"4.0098029638046997","Up","Dcbld1"
"4.4178534753715804","Up","Lx2A1"
"5.5513890311620102","Up","Gm6507"
"3.86032442159296","Up","RMER1B"
"4.4761434512558003","Up","RLTR13D6"
"6.0938188769765702","Up","Gm43937"
"6.2455698283443599","Up","Trabd2b"
"4.5514947559036196","Up","Abhd6"
"4.7147189126166396","Up","Gm5590"
"4.2955342978755704","Up","ERVL-B4-int"
"8.4239599500283493","Up","Cd209a"
"6.51500517962545","Up","Obox3"
"8.4751166810274299","Up","Gm45007"
"6.0314052009316503","Up","Gm8674"
"3.91678816876539","Up","Tsen2"
"4.01605833066467","Up","RLTR19-int"
"4.9008184831213999","Up","ERVB4_1-I_MM-int"
"3.6091711038793801","Up","Lx9"
"5.7315098951210199","Up","C330018A13Rik"
"5.5659999453898701","Up","Slfn10-ps"
"5.4811450510093103","Up","Wdr27"
"4.2631636280152501","Up","ORR1B2-int"
"9.3344222475470904","Up","Ppp1r2-ps7"
"4.4453038038686197","Up","Mecom"
"3.9593353699169498","Up","RMER1C"
"6.53045520879596","Up","RP24-198O18.1"
"3.6744225513275701","Up","Lx8b"
"6.1989343009625202","Up","Olfr450"
"3.8054351927875301","Up","L1_Mur1"
"6.4519492094877799","Up","Gm15640"
"4.5307219394510696","Up","Gm6489"
"5.5804542851232197","Up","MER50-int"
"4.7444694426280201","Up","Gm38258"
"3.5534731598742701","Up","Lx5"
"4.6102469041400402","Up","RLTR28B"
"5.3010216942898003","Up","Gm6803"
"5.8796572677055003","Up","Drr1"
"3.8287631994506302","Up","MusHAL1"
"3.4944164873182202","Up","L1Md_F3"
"3.8288546318843899","Up","Csrnp1"
"5.3532905324111404","Up","LTR16A1"
"6.5788407501780197","Up","Obox4-ps27"
"4.0749063093039499","Up","RMER3D-int"
"4.3661391205067304","Up","RLTR27"
"7.2967137294134004","Up","Gm42662"
"7.4087018419354198","Up","RP24-100K9.2"
"3.4544644927376602","Up","L1Md_T"
"5.6133617112671104","Up","Obox4-ps31"
"3.4841025670360302","Up","Lx6"
"5.76624790360587","Up","Gm6089"
"3.47994790590338","Up","L1_Mur3"
"3.8642135066283601","Up","RMER17C-int"
"3.4859548368489199","Up","Lx7"
"5.2701055703371402","Up","Gm13169"
"5.4892369097342097","Up","Platr31"
"4.5374682486044398","Up","Gm8711"
"3.8088301121872501","Up","MYSERV16_I-int"
"3.9327312354382702","Up","RLTR14-int"
"3.3303102948222501","Up","B2_Mm2"
"4.68997881464621","Up","Nfam1"
"4.2059113715447598","Up","Snai1"
"6.4215211150886997","Up","Vmn2r94"
"4.82846203838512","Up","Gm9476"
"3.8975014048005998","Up","L1VL1"
"4.99818298586941","Up","MLT2C1"
"5.8129243464598499","Up","6030407O03Rik"
"5.4113726335812604","Up","Mkrn2os"
"5.6039484727736903","Up","LTR83"
"5.26223794648772","Up","Gm20625"
"4.7536216031017204","Up","LTRIS_Mm"
"3.9439570138825601","Up","L1Md_Gf"
"5.4147106353437602","Up","Gm281"
"6.1762904505070404","Up","RLTR12F"
"3.4863288795095002","Up","L1VL4"
"5.4403883360818996","Up","Gm10719"
"6.15341154243308","Up","Gm12702"
"3.8862857548608098","Up","Rn7sk"
"5.0858745185617797","Up","Gm8038"
"4.3743019832711898","Up","6330408A02Rik"
"3.5011162208174502","Up","ORR1A2-int"
"5.5139368125419397","Up","MLT2E"
"4.6442496902712502","Up","Stk32c"
"4.3546555719325202","Up","MLT1G3"
"5.1960312007679201","Up","RLTR41C"
"3.5345509711649998","Up","MTEa"
"3.8614807545856999","Up","MLT1F2"
"5.6138606036029497","Up","Gm12495"
"4.2217116467558897","Up","RLTR10"
"4.1065223622012699","Up","L1MB1"
"5.9230370621868902","Up","Gm13224"
"6.1939284691512704","Up","Gm28826"
"3.5958605517695199","Up","Lx3A"
"5.6472967442414896","Up","Ecm2"
"4.1150759464024498","Up","Slc16a6"
"4.2285215223457104","Up","Mgll"
"5.3658490690497098","Up","BC080696"
"5.9959535228405896","Up","Olfr787"
"4.9263982461163804","Up","RLTR13B4"
"3.6526002812808098","Up","Glrx2"
"5.1710691246001703","Up","Gm5577"
"5.9408047174348502","Up","Gm428"
"4.8415038239197399","Up","Uckl1os"
"3.8993559568245399","Up","RLTR31C_MM"
"3.5098079768600399","Up","Atp6v1e1"
"5.8287758973790398","Up","Gm17613"
"3.8539026493139201","Up","RLTR22_Mur"
"4.7832862664520803","Up","Rpph1"
"3.7319768726876901","Up","RMER6C"
"4.2897402733575198","Up","MLT1E1A"
"5.4969072935327103","Up","Rem1"
"3.5239201368389299","Up","L1_Rod"
"3.4612051799613299","Up","MTB"
"5.7356040043732399","Up","Gm20611"
"5.1516214589695002","Up","Gm5435"
"4.1520143515550103","Up","IAPLTR2a"
"5.5442970383634202","Up","RLTR1E_MM"
"4.9902617057413803","Up","Charlie24"
"4.34609225141884","Up","IAPEY2_LTR"
"4.5122355538498402","Up","MER63D"
"4.1570233739992499","Up","MTB_Mm-int"
"4.1672834613252201","Up","ERVB4_2-I_MM-int"
"5.7577748801270499","Up","Gm13335"
"4.3722177276632097","Up","Kcnn2"
"5.2961547192137504","Up","tRNA-Phe-TTY"
"3.2388774982414601","Up","L1_Mus1"
"3.70035433716814","Up","LTRIS_Mus"
"4.4076526617814702","Up","MLT2B3"
"4.7025521678981104","Up","Guca1a"
"4.0659900681764301","Up","Lrrn4"
"3.7085124366228599","Up","ORR1D1-int"
"4.5634296174105602","Up","Fam171b"
"7.43036004860235","Up","AA619741"
"5.5671798494984301","Up","Obox4-ps18"
"5.4141111784664302","Up","Gm27168"
"4.5462661832161304","Up","RLTR30"
"5.2772328184820001","Up","RLTR41B"
"5.2859806471853004","Up","Gm42653"
"3.7425156991145401","Up","RLTR14"
"4.9365397731426501","Up","Ccl3"
"3.65455404101098","Up","Zfp809"
"4.6462667217604796","Up","MLTR31A_MM"
"4.6653401945759398","Up","IAPLTR1a_Mm"
"3.99360109081156","Up","ERVB4_1B-LTR_MM"
"6.90829768644757","Up","Gm37260"
"4.4026949291029096","Up","tRNA-Ile-ATA"
"4.7699752819808197","Up","4921507P07Rik"
"4.1924315469729097","Up","IAPLTR2b"
"4.07541713244885","Up","Arg2"
"3.5289497400618699","Up","Robo1"
"4.0906553067631197","Up","MTE2b-int"
"4.8803684346710403","Up","Lrguk"
"4.9619371646273898","Up","Adh7"
"3.342105928963","Up","MT2A"
"3.3897832362238698","Up","Gpbp1l1"
"6.1747092538731501","Up","Gm24442"
"5.5755803105670196","Up","A530032D15Rik"
"3.22330517662928","Up","Cand1"
"3.2799170358007501","Up","Ppig"
"6.7861048334690004","Up","Olfr118"
"4.8379415007986299","Up","MER63A"
"4.4575034128565703","Up","Nlrp4f"
"4.4739926440237197","Up","Arthur1"
"4.7721371269700796","Up","Farp1"
"4.4935317687150098","Up","IAPEY_LTR"
"3.46646311687357","Up","RMER1A"
"6.4123044638271098","Up","Kcne1"
"5.7854776030006896","Up","Prkcq"
"4.8917437885492703","Up","Gm38153"
"3.7845960902426699","Up","Arap2"
"6.4408680980809896","Up","Gm16028"
"3.63118434691444","Up","MLT1A1"
"3.4557483903955899","Up","ORR1A1"
"3.3199286097164298","Up","Lx4B"
"3.8982196402216598","Up","Sgk3"
"3.1557853078101701","Up","Lx8"
"3.2869653417033602","Up","L1M2"
"4.9577832941691096","Up","Duox2"
"3.55065806354613","Up","RodERV21-int"
"4.1010720204869298","Up","Gm10324"
"4.5543149420090101","Up","Mfap3l"
"3.0892964278695301","Up","Lx"
"3.4612466515864","Up","RMER19C"
"3.6451880272105801","Up","RLTR1B"
"7.1617519695516103","Up","Vmn2r52"
"6.5372345025918701","Up","Gm11756"
"5.5896567710446998","Up","Tmem212"
"3.18498438167589","Up","MTA_Mm"
"3.4946177277305499","Up","L1MD"
"3.7758144620759899","Up","Micu1"
"3.70512167944714","Up","A2m"
"5.0366384519917498","Up","MER45A"
"5.0960030403470897","Up","LTR16D"
"4.4892750115285303","Up","RLTR10B2"
"5.6308608289144004","Up","2410018L13Rik"
"3.6639796760857899","Up","RLTR11C_MM"
"3.6876019940879701","Up","RLTR45"
"4.8782519563600903","Up","Bend6"
"3.0662150612844901","Up","L1Md_A"
"3.8251630980976401","Up","RMER12B"
"3.2763717426280299","Up","MMERVK9E_I-int"
"5.2340283464263804","Up","Gm12790"
"4.4750556814096996","Up","RLTR20A"
"4.3941846132779903","Up","Fzd4"
"4.6106007805648499","Up","RLTR9A3A"
"3.4188718015626902","Up","L1MC1"
"5.6846296506219796","Up","Sva"
"7.0896468225176497","Up","Nek5"
"5.5372162366473301","Up","Tpo"
"3.6710828393629802","Up","Dock9"
"3.3147056097760399","Up","MTC-int"
"6.03211354390612","Up","Obox4-ps14"
"4.1839240021735904","Up","IAPLTR4"
"3.8038976520030499","Up","MLT1K"
"5.0669532843332696","Up","ERVB4_3-LTR_MM"
"4.6513064799309296","Up","Gm4982"
"4.3557174459799297","Up","Gm5053"
"6.9770863475743798","Up","Rpl23a-ps4"
"3.40617321791572","Up","RLTR15"
"3.6026223906952799","Up","Ube2w"
"3.5411936464316902","Up","Tmem189"
"4.6740260896862198","Up","Hist1h4i"
"4.8314453548449601","Up","Plcb1"
"5.6603482926756001","Up","Serpinb1c"
"4.5452944900840304","Up","RLTR35B_MM"
"4.7720554380426501","Up","Gm13226"
"5.8160509085985499","Up","Ccdc83"
"3.9478386565915899","Up","MERV1_LTR"
"3.3345465423915202","Up","MuRRS4-int"
"4.41794960854254","Up","Adam8"
"5.45748002757135","Up","1700003I16Rik"
"4.2574880626687097","Up","MER44A"
"4.8698265806369596","Up","Ulk4"
"6.0905260471861604","Up","Gm12430"
"3.1906619993396199","Up","Cab39"
"5.0145228342913999","Up","Gm2075"
"6.2870076532429398","Up","Rab3c"
"5.7893684334956301","Up","Ttc21a"
"3.34615971163048","Up","MLT1B"
"5.31785098664486","Up","Gm11168"
"7.6123936382536099","Up","Gm43655"
"5.1555199587532003","Up","ERVB4_3-I_MM-int"
"4.6649202459922003","Up","Gm4302"
"3.9660544169784702","Up","Il6ra"
"3.5688267002309999","Up","Gm26788"
"6.9243154695225604","Up","Gm10775"
"6.0127257589677097","Up","Cpxcr1"
"2.94495599929509","Up","MTD"
"3.8246116683340801","Up","Zfp125"
"3.04962023643444","Up","ORR1E"
"4.0787835534572503","Up","Gm4349"
"3.41080840379876","Up","RLTR25B"
"5.6796040418928397","Up","Gm18198"
"5.8514533493370697","Up","Bex6"
